"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:37:33.4562097 PM","WerFault.exe","22096","CreateFileMapping","C:\Windows\SysWOW64\WindowsCodecs.dll","SUCCESS","SyncType: SyncTypeOther"
"9:37:33.4562275 PM","WerFault.exe","22096","CloseFile","C:\Windows\SysWOW64\WindowsCodecs.dll","SUCCESS",""
"9:37:33.4563800 PM","WerFault.exe","22096","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:33.4563911 PM","WerFault.exe","22096","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:33.4564144 PM","WerFault.exe","22096","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\MiniDumpAuxiliaryDlls","SUCCESS","Desired Access: Read"
"9:37:33.4564364 PM","WerFault.exe","22096","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\MiniDumpAuxiliaryDlls","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:33.4564491 PM","WerFault.exe","22096","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\MiniDumpAuxiliaryDlls\C:\WINDOWS\SYSTEM32\WINSTA.dll","NAME NOT FOUND","Length: 144"
"9:37:33.4564635 PM","WerFault.exe","22096","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\MiniDumpAuxiliaryDlls","SUCCESS",""
"9:37:33.4566051 PM","WerFault.exe","22096","CreateFile","C:\Windows\SysWOW64\winsta.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:33.4566309 PM","WerFault.exe","22096","QueryBasicInformationFile","C:\Windows\SysWOW64\winsta.dll","SUCCESS","CreationTime: 3/28/2025 7:08:36 AM, LastAccessTime: 7/14/2025 9:37:32 PM, LastWriteTime: 3/28/2025 7:08:36 AM, ChangeTime: 5/11/2025 1:58:51 PM, FileAttributes: A"
"9:37:33.4566392 PM","WerFault.exe","22096","CloseFile","C:\Windows\SysWOW64\winsta.dll","SUCCESS",""
"9:37:33.4567041 PM","WerFault.exe","22096","CreateFile","C:\Windows\SysWOW64\winsta.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:33.4567354 PM","WerFault.exe","22096","CreateFileMapping","C:\Windows\SysWOW64\winsta.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
